,session_id,ner_model,sentence_index,named_entity_type,entity
0,d0e9c5cd2bdf,spacy,1,ORG,Commission
1,d0e9c5cd2bdf,spacy,1,TIME,60 4 p.m.
2,d0e9c5cd2bdf,transformers,1,B-ORG,equity
3,d0e9c5cd2bdf,transformers,1,I-ORG,relations
4,d0e9c5cd2bdf,transformers,1,I-ORG,Commission
5,d0e9c5cd2bdf,flair,1,ORG,Commission
6,d0e9c5cd2bdf,spacy,2,CARDINAL,three
7,d0e9c5cd2bdf,spacy,2,DATE,today
8,d0e9c5cd2bdf,spacy,2,ORG,Camacho
9,d0e9c5cd2bdf,spacy,2,ORG,Camacho
10,d0e9c5cd2bdf,spacy,2,PERSON,Nicholson
11,d0e9c5cd2bdf,spacy,2,PERSON,Eric Center
12,d0e9c5cd2bdf,spacy,2,DATE,today
13,d0e9c5cd2bdf,transformers,2,B-PER,Cam
14,d0e9c5cd2bdf,transformers,2,I-PER,##ach
15,d0e9c5cd2bdf,transformers,2,I-ORG,##o
16,d0e9c5cd2bdf,transformers,2,B-PER,Cam
17,d0e9c5cd2bdf,transformers,2,I-ORG,##ach
18,d0e9c5cd2bdf,transformers,2,I-ORG,##o
19,d0e9c5cd2bdf,transformers,2,B-PER,Nicholson
20,d0e9c5cd2bdf,transformers,2,B-PER,Eric
21,d0e9c5cd2bdf,transformers,2,I-PER,Center
22,d0e9c5cd2bdf,flair,2,PER,Camacho
23,d0e9c5cd2bdf,flair,2,PER,Camacho
24,d0e9c5cd2bdf,flair,2,PER,Nicholson
25,d0e9c5cd2bdf,flair,2,PER,Eric Center
26,d0e9c5cd2bdf,spacy,3,PERSON,Alan
27,d0e9c5cd2bdf,transformers,3,B-PER,Alan
28,d0e9c5cd2bdf,flair,3,PER,Alan
29,d0e9c5cd2bdf,spacy,4,PERSON,Batts
30,d0e9c5cd2bdf,transformers,4,B-PER,Bat
31,d0e9c5cd2bdf,transformers,4,I-PER,##ts
32,d0e9c5cd2bdf,flair,4,PER,Batts
33,d0e9c5cd2bdf,spacy,6,PERSON,Butler
34,d0e9c5cd2bdf,transformers,6,B-PER,Butler
35,d0e9c5cd2bdf,flair,6,PER,Butler
36,d0e9c5cd2bdf,spacy,7,PERSON,Covington
37,d0e9c5cd2bdf,transformers,7,B-PER,Co
38,d0e9c5cd2bdf,transformers,7,B-PER,##vington
39,d0e9c5cd2bdf,flair,7,PER,Covington
40,d0e9c5cd2bdf,spacy,9,PERSON,Flores
41,d0e9c5cd2bdf,transformers,9,B-PER,Flores
42,d0e9c5cd2bdf,flair,9,PER,Flores
43,d0e9c5cd2bdf,spacy,10,PERSON,Lara
44,d0e9c5cd2bdf,spacy,10,PERSON,Montgomery
45,d0e9c5cd2bdf,spacy,10,PERSON,Schultz
46,d0e9c5cd2bdf,spacy,10,PERSON,Del Gallo
47,d0e9c5cd2bdf,spacy,10,PERSON,Smith
48,d0e9c5cd2bdf,transformers,10,B-PER,Lara
49,d0e9c5cd2bdf,transformers,10,B-PER,Montgomery
50,d0e9c5cd2bdf,transformers,10,B-PER,Schultz
51,d0e9c5cd2bdf,transformers,10,B-PER,Del
52,d0e9c5cd2bdf,transformers,10,I-PER,G
53,d0e9c5cd2bdf,transformers,10,I-PER,##allo
54,d0e9c5cd2bdf,transformers,10,B-PER,Smith
55,d0e9c5cd2bdf,flair,10,PER,Lara
56,d0e9c5cd2bdf,flair,10,PER,Montgomery
57,d0e9c5cd2bdf,flair,10,PER,Schultz
58,d0e9c5cd2bdf,flair,10,PER,Del Gallo
59,d0e9c5cd2bdf,flair,10,PER,Smith
60,d0e9c5cd2bdf,spacy,11,PERSON,Alex
61,d0e9c5cd2bdf,transformers,11,B-PER,Alex
62,d0e9c5cd2bdf,flair,11,PER,Alex
63,d0e9c5cd2bdf,spacy,17,DATE,today
64,d0e9c5cd2bdf,spacy,19,PERSON,Henry
65,d0e9c5cd2bdf,transformers,19,B-PER,Henry
66,d0e9c5cd2bdf,flair,19,PER,Henry
67,d0e9c5cd2bdf,spacy,21,EVENT,the September 7th minutes
68,d0e9c5cd2bdf,spacy,22,PERSON,Pusher Schultz
69,d0e9c5cd2bdf,transformers,22,B-PER,Schultz
70,d0e9c5cd2bdf,flair,22,PER,Pusher Schultz
71,d0e9c5cd2bdf,spacy,27,ORDINAL,second
72,d0e9c5cd2bdf,transformers,27,B-PER,Schultz
73,d0e9c5cd2bdf,flair,27,PER,Schultz
74,d0e9c5cd2bdf,spacy,28,ORDINAL,second
75,d0e9c5cd2bdf,spacy,28,GPE,lotta
76,d0e9c5cd2bdf,spacy,29,PRODUCT,Lara
77,d0e9c5cd2bdf,spacy,29,TIME,those minutes
78,d0e9c5cd2bdf,transformers,29,B-PER,Lara
79,d0e9c5cd2bdf,flair,29,PER,Lara
80,d0e9c5cd2bdf,spacy,30,GPE,Samantha
81,d0e9c5cd2bdf,transformers,30,B-PER,Samantha
82,d0e9c5cd2bdf,flair,30,PER,Samantha
83,d0e9c5cd2bdf,spacy,32,ORG,Butler
84,d0e9c5cd2bdf,transformers,32,B-PER,Butler
85,d0e9c5cd2bdf,flair,32,PER,Butler
86,d0e9c5cd2bdf,spacy,35,TIME,tonight
87,d0e9c5cd2bdf,spacy,37,PERSON,Butler
88,d0e9c5cd2bdf,transformers,37,B-PER,Butler
89,d0e9c5cd2bdf,flair,37,PER,Butler
90,d0e9c5cd2bdf,transformers,39,B-PER,Allen
91,d0e9c5cd2bdf,flair,39,PER,Allen
92,d0e9c5cd2bdf,spacy,42,PERSON,Tony
93,d0e9c5cd2bdf,transformers,42,B-PER,Tony
94,d0e9c5cd2bdf,flair,42,PER,Tony
95,d0e9c5cd2bdf,spacy,43,PERSON,Allen
96,d0e9c5cd2bdf,transformers,43,B-PER,Allen
97,d0e9c5cd2bdf,flair,43,PER,Allen
98,d0e9c5cd2bdf,spacy,45,PERSON,Batts
99,d0e9c5cd2bdf,transformers,45,B-PER,Bat
100,d0e9c5cd2bdf,transformers,45,I-PER,##ts
101,d0e9c5cd2bdf,flair,45,PER,Batts
102,d0e9c5cd2bdf,spacy,47,ORG,Butler
103,d0e9c5cd2bdf,transformers,47,B-PER,Butler
104,d0e9c5cd2bdf,flair,47,PER,Butler
105,d0e9c5cd2bdf,spacy,48,PERSON,Covington
106,d0e9c5cd2bdf,transformers,48,B-PER,Co
107,d0e9c5cd2bdf,transformers,48,B-PER,##vington
108,d0e9c5cd2bdf,flair,48,PER,Covington
109,d0e9c5cd2bdf,spacy,49,PERSON,Flores
110,d0e9c5cd2bdf,transformers,49,B-PER,Flores
111,d0e9c5cd2bdf,flair,49,PER,Flores
112,d0e9c5cd2bdf,spacy,50,PERSON,Lana
113,d0e9c5cd2bdf,transformers,50,B-PER,Lana
114,d0e9c5cd2bdf,flair,50,PER,Lana
115,d0e9c5cd2bdf,transformers,52,B-PER,Montgomery
116,d0e9c5cd2bdf,flair,52,PER,Montgomery
117,d0e9c5cd2bdf,spacy,54,PERSON,Schultz
118,d0e9c5cd2bdf,transformers,54,B-PER,Schultz
119,d0e9c5cd2bdf,flair,54,PER,Schultz
120,d0e9c5cd2bdf,spacy,56,PERSON,Smith
121,d0e9c5cd2bdf,transformers,56,B-PER,Smith
122,d0e9c5cd2bdf,flair,56,PER,Smith
123,d0e9c5cd2bdf,spacy,57,PERSON,Gutierrez
124,d0e9c5cd2bdf,transformers,57,B-PER,G
125,d0e9c5cd2bdf,transformers,57,I-PER,##uti
126,d0e9c5cd2bdf,transformers,57,I-PER,##er
127,d0e9c5cd2bdf,transformers,57,B-PER,##rez
128,d0e9c5cd2bdf,flair,57,PER,Gutierrez
129,d0e9c5cd2bdf,spacy,60,TIME,evening
130,d0e9c5cd2bdf,spacy,60,ORG,Commissioners
131,d0e9c5cd2bdf,spacy,61,DATE,October
132,d0e9c5cd2bdf,spacy,62,TIME,tonight
133,d0e9c5cd2bdf,spacy,63,DATE,the last many months
134,d0e9c5cd2bdf,spacy,63,ORG,Community
135,d0e9c5cd2bdf,transformers,63,B-ORG,Community
136,d0e9c5cd2bdf,spacy,67,TIME,tonight
137,d0e9c5cd2bdf,spacy,68,ORG,Equity
138,d0e9c5cd2bdf,spacy,68,PRODUCT,Commissions
139,d0e9c5cd2bdf,transformers,68,B-ORG,Equity
140,d0e9c5cd2bdf,transformers,68,B-ORG,Commission
141,d0e9c5cd2bdf,flair,68,ORG,Commissions
142,d0e9c5cd2bdf,spacy,74,DATE,Saturday
143,d0e9c5cd2bdf,spacy,75,DATE,November 12th
144,d0e9c5cd2bdf,spacy,75,TIME,10 a.m. to 2 p.m.
145,d0e9c5cd2bdf,spacy,75,ORG,Retreat
146,d0e9c5cd2bdf,spacy,76,DATE,"Saturday, November 12th"
147,d0e9c5cd2bdf,spacy,78,GPE,Long Beach
148,d0e9c5cd2bdf,transformers,78,B-LOC,Long
149,d0e9c5cd2bdf,transformers,78,I-LOC,Beach
150,d0e9c5cd2bdf,flair,78,LOC,Long Beach
151,d0e9c5cd2bdf,spacy,79,DATE,this week
152,d0e9c5cd2bdf,spacy,80,PERSON,Doug
153,d0e9c5cd2bdf,spacy,80,GPE,LaBelle
154,d0e9c5cd2bdf,spacy,80,PERSON,Batts
155,d0e9c5cd2bdf,spacy,80,PERSON,Tony
